ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ESPACO,ENDERECO,TELEFONE,BAIRRO,CEP,CT_TIPO,CT_DEPADM,INAUGURACAO,ASSENTOS
72,-46752460,-23405267,355030861000001,3550308005242,62,PERUS,1,PERUS,Norte,Norte 1,CEU Perus,Biblioteca João Antônio,"R. Bernardo José de Lourena, s/n",39158750 / 52,Perus,,2,1,,
73,-46681575,-23558856,355030862000093,3550308005052,63,PINHEIROS,11,PINHEIROS,Oeste,Oeste,Alceu Amoroso Lima,,"Rua Henrique Schaumann, 777",3082-5023,Pinheiros,,2,1,,
74,-46740634,-23484700,355030895000104,3550308005110,73,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 1,Brito Broca,,"Av. Mutinga, 1.425",3904-1444,Pirituba,05110-00,2,1,,
75,-46773359,-23590523,355030865000001,3550308005238,66,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,CEU Butantã,Biblioteca ,"Av. Eng. Heitor Antonio Eiras Garcia, 1700 a 1870 J.Esmeralda",3732.4550 / 51,Jardim Esmeralda,,2,1,,
76,-46642036,-23547475,355030866000003,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,Mário de Andrade,,"Rua da Consolação, 94",3241-3459,Consolação,,2,1,,
77,-46641222,-23547697,355030866000006,3550308005002,67,REPUBLICA,9,SE,Centro,Centro,BMA - Ônibus Biblioteca,,"Rua da Consolação, 94",255-0626,Consolação,,2,1,,
78,-46619249,-23498019,355030870000042,3550308005064,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,Nuto Sant'Anna,,"Pça. Tenório Aguiar, 32",6973-0072,Santana,,2,1,,
79,-46708349,-23645678,355030871000035,3550308005174,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,Presidente Kennedy,,"Av. João Dias, 822",5687-0513,Santo Amaro,04724-00,2,1,,
80,-46756818,-23480308,355030895000076,3550308005111,73,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 1,CEU Vila Atlântica,Biblioteca Maria Benedita Câmara Bormann,"R. Cel. José Venâncio Dias, 840  J. Nardini",3901.8744/8765/69,Jardim Nardini,,2,1,,
81,-46548167,-23594347,355030872000014,3550308005081,74,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,Aureliano Leite,,"R. Otto Schubart, 196",6211-7716,Parque São Lucas,,2,1,,
82,-46435529,-23494783,355030874000095,3550308005196,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,Raimundo de Menezes,,"Av. Marechal Tito, 916",6297-4053,São Miguel Paulista,08440-18,2,1,,
83,-46443635,-23635442,355030875000202,3550308005278,77,SAO RAFAEL,30,SAO MATEUS,Leste,Leste 2,CEU São Rafael,Biblioteca Mário Palmério,"R. Cinira Polônio, 100 e Rua Cinira Polônio, 100  Jardim Rio Claro",6752.1052/1064/65,Jardim Rio Claro,,2,1,,
84,-46515993,-23600491,355030876000027,3550308005156,78,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,Gilberto Freyre,,"R. José Joaquim, 290",6103-1811,Sapopemba,03238-03,2,1,,
85,-46500299,-23619962,355030876000182,3550308005209,78,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,CEU Rosa da China,Biblioteca Juó Bananére,"R. Clara Petrella, 113 - Jd. São Roberto",6701.2356 / 57,Jardim São Roberto,,2,1,,
86,-46571682,-23535614,355030880000021,3550308005036,82,TATUAPE,25,MOOCA,Leste,Leste 1,Cassiano Ricardo,,"Av. Celso Garcia, 4.200",6192-4570,Tatuapé,03064-00,2,1,,
87,-46574846,-23528840,355030880000052,3550308005036,82,TATUAPE,25,MOOCA,Leste,Leste 1,Bosque de Leitura - Piqueri,,"Rua Tuiuti, 515",3253-2331 r. 375/37,Tatuapé,03064-00,2,1,,
88,-46604139,-23481041,355030882000005,3550308005066,84,TUCURUVI,5,SANTANA-TUCURUVI,Norte,Norte 2,Dinah Silveira de Queirós,,"Av. Tucuruvi, 808",6981-6263,Tucuruvi,,2,1,,
89,-46411341,-23494735,355030884000107,3550308005248,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,CEU Vila Curuçá,Biblioteca,"Av. Marechal Tito, 3.450  V. Curuçá",6563.6150 / 51,Vila Curuþß,,2,1,,
90,-46540077,-23571307,355030885000015,3550308005079,87,VILA FORMOSA,26,ARICANDUVA,Leste,Leste 1,Paulo Setúbal,,"Av. Renata, 163",6211-1507,Vila Formosa,,2,1,,
91,-46472378,-23509629,355030887000129,3550308005195,89,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,CEU Parque São Carlos,Biblioteca Barbosa Lima Sobrinho,"R. Clarear, 140  -  Jardim. São Carlos",6145.4255 / 50,Jardim São Carlos,,2,1,,
92,-46592268,-23503619,355030889000098,3550308005034,91,VILA MARIA,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,Álvares de Azevedo,,Pça. Joaquim José da Nova s/n,6954-3118,Vila Maria,03444-09,2,1,,
93,-46725327,-23558172,355030812000038,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Biblioteca Central da USP,,Cidade Universitária,818-5360,Cidade Universitária,,2,2,,
94,-46652511,-23551261,355030826000142,3550308005013,26,CONSOLACAO,9,SE,Centro,Centro,Arquivo do Estado - Biblioteca,,"Rua D. Antônia de Queiroz, 183",,Consolação,,2,2,,
95,-46638118,-23534636,355030866000115,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,CONDEPHAAT - Biblioteca,,"Rua Mauá, 51",3351-8002/8004,Centro,,2,2,,
