ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ESPACO,ENDERECO,TELEFONE,BAIRRO,CEP,CT_TIPO,CT_DEPADM,INAUGURACAO,ASSENTOS
1307,-46655198,-23512668,355030821000059,3550308005030,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,Vila do Samba,,"R João Rudge, 340",3858-6641,Casa Verde,,9,4,,700
1308,-46648553,-23526306,355030869000044,3550308005027,70,SANTA CECILIA,9,SE,Centro,Centro,Bar Berlin,,"R Conego Vicente Miguel Marino, 85",3392-4594,Barra Funda,,9,4,,300
1309,-46660210,-23503113,355030821000018,3550308005030,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,Casa da Bisa,,"Av Baruel, 616",3955-4800,Casa Verde,,9,4,,800
1310,-46644677,-23519400,355030809000039,3550308005004,09,BOM RETIRO,9,SE,Centro,Centro,Quadra dos Gaviões da Fiel,,"R Cristina Tomás, 183",3221-2066,Bom Retiro,,9,4,,4000
1311,-46641952,-23516285,355030870000060,3550308005064,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,Holiday Inn Parque Anhembi,,"R Prof. Milton Rodrigues, 100",6223-8844,Parque Anhembi,,9,4,,600
1312,-46639434,-23515249,355030870000060,3550308005064,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,Auditório Elis Regina - Palácio das Convenções Anhembi,,"Av Olavo Fontoura, 1209",2163-2000,Santana,,9,4,,860
1313,-46631818,-23525056,355030809000018,3550308005004,09,BOM RETIRO,9,SE,Centro,Centro,Hangar  110,,"R Rodolfo Miranda, 110",3229-7442,Bom Retiro,,9,4,,400
1314,-46630947,-23516327,355030870000060,3550308005064,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,Clube Espéria,,"Av Santos Dumont, 1.313",6221-2344,Santana,,9,4,,2000
1315,-46619774,-23511426,355030886000031,3550308005031,88,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,Novo Hotel Center Norte,,"Av Zaki Narchi, 500",6224-4000,Carandiru,,9,4,,140
1316,-46624945,-23506481,355030870000027,3550308005064,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,Santana Hall,,"Av Cruzeiro do Sul, 2.737",2221-0885,Santana,,9,4,,1000
1317,-46620125,-23500849,355030870000085,3550308005064,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,Cafe Concerto Cultura Inglesa Santana,,"R Duarte de Azevedo, 550",3039-0553,Santana,,9,4,,120
