ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ESPACO,ENDERECO,TELEFONE,BAIRRO,CEP,CT_TIPO,CT_DEPADM,INAUGURAÇAO,ASSENTOS
321,-46651182,-23538649,355030869000110,3550308005014,70,SANTA CECILIA,9,SE,Centro,Centro,Central,,"Rua Fortunato , 236",3333-6839,Vila Buarque,,4,4,,
322,-46714434,-23598123,355030854000067,3550308005104,55,MORUMBI,10,BUTANTA,Oeste,Oeste,Casa dos Macacos,,"Rua dos Combatentes do Gueto, 29 ",3816-3219,Morumbi,,4,4,,
323,-46657947,-23574055,355030845000141,3550308005024,44,JARDIM PAULISTA,11,PINHEIROS,Oeste,Oeste,Spazio Surreale,,"Rua Caconde, 132",3884-8449,Vila Mariana,,4,4,,
324,-46644942,-23549591,355030866000028,3550308005002,67,REPUBLICA,9,SE,Centro,Centro,Calligraphia Galeria e Loja de Arte,,"Rua Avanhandava, 40A",3151-6477,Bela Vista,,4,4,,
325,-46648948,-23544338,355030826000098,3550308005012,26,CONSOLACAO,9,SE,Centro,Centro,Acervo e Museu Monteiro Lobato,,"Rua General Jardim, 485",3256-4122,Consolação,,5,1,1959,
326,-46632586,-23529738,355030809000012,3550308005004,09,BOM RETIRO,9,SE,Centro,Centro,Arquivo Histórico Municipal,,"Pça. Cel. Fernando Prestes, 152",3326-1010,Luz,01124-06,5,1,1907,
327,-46712476,-23611065,355030854000084,3550308005104,55,MORUMBI,10,BUTANTA,Oeste,Oeste,Capela do Morumbi - integra Museu da Cid. SP,,"Av. Morumbi, 5.387",3772-4301,Morumbi,05650-00,5,1,1980/01/25,
328,-46610371,-23578381,355030834000009,3550308005019,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,Capela Imperial/Casa do Grito,,"Parque da Independência, s/n",6168-0012,Ipiranga,04261-07,5,1,1952,
329,-46709356,-23561028,355030812000053,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Casa do Bandeirante,,"Praça Monteiro Lobato, s/n",3031-0920,Butantã,05506-03,5,1,1954,
330,-46631840,-23548390,355030878000001,3550308005001,80,SE,9,SE,Centro,Centro,Casa Número 1,,"Rua Roberto Simonsen, 136 - B",3105-2030,Centro,01017-02,5,1,1976?,
331,-46609959,-23582308,355030834000009,3550308005019,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,Espaço Museolúrgico do Monumento à Independãncia,,"Parque da Independência, s/n",6168-0012,Ipiranga,04261-07,5,1,1922,
332,-46648523,-23594991,355030890000175,3550308005046,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,Memorial do Ensino Municipal,,"Rua Diogo de Faria, 1247",5080-5055,Vila Clementino,,5,1,1995,
333,-46655461,-23585872,355030832000011,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,Museu Afrobrasil,,"Rua Pedro Álvares Cabral, s/n - Portão 10, Pavilhão Padre Manoel da N",5579-0593,Parque Ibirapuera,,5,1,2004,
334,-46631851,-23548395,355030878000001,3550308005001,80,SE,9,SE,Centro,Centro,"Museu da Cidade de São Paulo ""Solar da Marquesa de Santos""",,"R. Roberto Simonsen, 136 - Pátio do Colégio",3106-2218,Centro,01017-02,5,1,,
335,-46720942,-23583729,355030812000135,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Museu do Folclore - Casa do Sertanista,,"Praça Dr. Enio Barbosa, s/n",3721-9096,Butantã,,5,1,1947,
336,-46468533,-23569628,355030857000078,3550308005205,58,PARQUE DO CARMO,27,ITAQUERA,Leste,Leste 2,Museu do Meio Ambiente  - Parque do Carmo,,"Av. Afonso de Sampaio e Souza, 951",6748-0010,Jd. Nossa do Carmo,,5,1,,
337,-46644228,-23650004,355030838000025,3550308005095,37,JABAQUARA,15,JABAQUARA,Sul,Sul 1,Museu do Teatro Municipal,,"Rua Nadra Raffoul Mokodsi, 3",2577-5461,Jabaquara,,5,1,1983,
338,-46638079,-23545693,355030866000003,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,Museu do Telefone,,"Baixos do Viaduto do Chá, s/n",3241-3815,Centro,01049-00,5,1,1977,
339,-46624827,-23524478,355030856000008,3550308005015,57,PARI,25,MOOCA,Leste,Leste 1,Museu dos Transportes Públicos Gaetano Ferolla,,"Av. Cruzeiro do Sul, 780 - Estação Armênia",3315-8884,Pari,,5,1,1985,
340,-46632401,-23547676,355030878000001,3550308005001,80,SE,9,SE,Centro,Centro,Museu e Capela Padre José de  Anchieta,,"Praça Pátio do Colégio, 2",3105-6899,Centro,,5,1,1979,
341,-46639659,-23569642,355030849000103,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,Pinacoteca Municipal - Centro Cultural São Paulo,,"Rua Vergueiro, 1.000",3277-3277,Liberdade,,5,1,,
342,-46711965,-23603126,355030854000067,3550308005104,55,MORUMBI,10,BUTANTA,Oeste,Oeste,Acervo do Palácio dos Bandeirantes,,"Av. Morumbi, 4.500",3845-3263,Morumbi,,5,2,1985,
343,-46626019,-23515174,355030870000058,3550308005064,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,Arquivo do Estado,,"Rua Voluntários da Pátria, 596",6221-4785,Santana,,5,2,1721,
344,-46674248,-23546074,355030860000054,3550308005026,61,PERDIZES,8,LAPA,Oeste,Oeste,Casa Guilherme de Almeida,,"Rua Macapá, 187",3673-1883,Sumaré,,5,2,1979,
345,-46671147,-23556014,355030845000125,3550308005025,44,JARDIM PAULISTA,11,PINHEIROS,Oeste,Oeste,Centro Hitórico-cultural de Enfermagem Íberoamericana,,"Rua Dr. Enéas Carvalho Aguiar, 419",3066-7542,Jardim América,,5,2,1992,
346,-46712197,-23563092,355030812000038,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Coleção de Artes Visuais do Instituto de Estudos Brasileiros da Universidade de São Paulo - IEB/USP,,"Rua Prof. Mello Moraes, 140",3091-3247,Cidade Universitária,,5,2,1962,
347,-46719760,-23556752,355030812000038,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Coleção Mário de Andrade,,"Av.. Professor Melo Moraes, 1235 - bloco D,  2 andar",815-3106,Cidade Universitária,,5,2,1962,
348,-46697189,-23521487,355030848000011,3550308005058,48,LAPA,8,LAPA,Oeste,Oeste,Estação Ciência - USP,,"Rua Guaicurus, 1.274/1.394",3673-7022,Lapa,,5,2,1987/06/24,
349,-46638474,-23534973,355030866000114,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,Estação Pinacoteca,,"Rua General Osório, 66, 3º piso",3337-0185,Luz,,5,2,1905,
350,-46750116,-23533557,355030841000002,3550308005108,40,JAGUARE,8,LAPA,Oeste,Oeste,Fundação Museu Tecnologia de São Paulo,,"Av. Eng. Billings, 526",3768-5785,Jaguaré,,5,2,1970/04/20,
351,-46719978,-23558727,355030812000052,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Instituto de Estudos Brasileiros da USP,,"Av. Prof. Mello Moraes, travessa 8, 14",3818-3427,Cidade Universitária,,5,2,1968,
352,-46667392,-23525450,355030806000003,3550308005029,06,BARRA FUNDA,8,LAPA,Oeste,Oeste,Memorial da América Latina - Pavilhão da Criatividade,,"Av. Auro Soares de Moura Andrade, 664",3823-9611/4600,Barra Funda,,5,2,1989,
353,-46638474,-23534973,355030866000114,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,Memorial da Liberdade,,"Largo General Osório, 66",3337-0185,Campos Elíseos,,5,2,2002/07/04,
354,-46613893,-23549561,355030810000051,3550308005005,10,BRAS,25,MOOCA,Leste,Leste 1,Memorial do Imigrante,,"R. Visconde de Parnaíba, 1.316",6692-2497,Brás,,5,2,1998/04/06,
355,-46621760,-23479838,355030851000098,3550308005129,51,MANDAQUI,5,SANTANA-TUCURUVI,Norte,Norte 2,Museu Acadêmico Cadete Eduardo Pinheiro,,"Av. Água Fria, 1923",6997-7000,Água Fria,,5,2,1994,
356,-46715752,-23568056,355030812000025,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Museu Biológico do Instituto Butantan,,"Av. Dr. Vital Brasil, 1.500",3726-7222,Butantã,,5,2,1901,
357,-46626735,-23640031,355030827000140,3550308005091,27,CURSINO,13,IPIRANGA,Sul,Sul 1,Museu Botânico Dr. João Barbosa Rodrigues,,"Av. Miguel Estéfano,  3.031",5073-6300,Saúde,,5,2,1942,
358,-46669921,-23554270,355030845000171,3550308005025,44,JARDIM PAULISTA,11,PINHEIROS,Oeste,Oeste,Museu Coroplástico Augusto Esteves,,"Av. Dr. Arnaldo, 455 - 2º",3066-7000,Pinheiros,,5,2,1980,
359,-46657044,-23584975,355030832000011,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,Museu da Aeronáutica,,Pavilhão Lucas Garcez - Parque Ibirapuera,6412-6727,Ibirapuera,,5,2,1959,
360,-46726593,-23555741,355030812000038,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Museu da Anatomia  Veterinária - MAV Prof. Plínio Pinto e Silva,,"Av. Prof. Lúcio Martins Rodrigues, Trav. 4, Bloco 7 - USP",3091-4234,Cidade Universitária,,5,2,1984,
361,-46684027,-23580438,355030862000114,3550308005053,63,PINHEIROS,11,PINHEIROS,Oeste,Oeste,Museu da Casa Brasileira,,"Av. Brig. Faria Lima, 2.705",3032-3727,Jardim Paulistano,,5,2,1970,
362,-46715088,-23562092,355030812000038,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Museu da Educação e do Brinquedo,,"Av. da Universidade, 308 bloco B - sala, 38",3818-3351,Cidade Universitária,,5,2,1999,
363,-46637421,-23549423,355030878000005,3550308005001,80,SE,9,SE,Centro,Centro,Museu da Faculdade de Direito da USP,,"Largo do São Francisco, 95",3111-4033/4037,Centro,,5,2,1999,
364,-46633217,-23533565,355030809000012,3550308005004,09,BOM RETIRO,9,SE,Centro,Centro,Museu da Língua Portuguesa,,"Praça da Luz, s/n",3326-0775,Centro,,5,2,2006/03/20,
365,-46628242,-23531424,355030809000023,3550308005004,09,BOM RETIRO,9,SE,Centro,Centro,Museu da Polícia Militar,,"Rua Dr. Jorge Miranda, 308",3227-3793,Bom Retiro,,5,2,1958,
366,-46643509,-23523729,355030809000035,3550308005004,09,BOM RETIRO,9,SE,Centro,Centro,Museu da Saúde Pública Emílio Ribas,,"Rua Tenente Pena, 100",3331-0341,Bom Retiro,,5,2,1979,
367,-46739389,-23564193,355030812000020,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Museu de Anatomia Humana Prof. Alfonso Bovero,,"Edif.  Biomédicas III - sala 4 - Av. Prof. Lineu Prestes, 2.415",3091-7360,Cidade Universitária,,5,2,1999/03/10,
368,-46740054,-23558807,355030812000038,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Museu de Arqueologia  e Etnologia da USP,,"Av. Prof. Almeida Prado, 1.466",3091-4901,Cidade Universitária,,5,2,1989,
369,-46721859,-23559590,355030812000038,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Museu de Arte Contemporânea - MAC,,"Rua Reitoria, 160  - Prédio Novo da Reitoria",3091-3039,Cidade Universitária,,5,2,1963,
370,-46653135,-23587415,355030832000011,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,Museu de Arte Contemporânea - MAC,,"Av. Pedro Álvares Cabral, s/n, portão 3 - Pavilhão Cecílio Matarazzo 3º piso",5573-9932,Parque Ibirapuera,,5,2,1963,
371,-46631096,-23529855,355030809000023,3550308005004,09,BOM RETIRO,9,SE,Centro,Centro,Museu de Arte Sacra,,"Av. Tiradentes, 676",3326-3336,Bom Retiro,,5,2,1970,
372,-46721887,-23560140,355030812000038,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Museu de Ciências da USP (MAC-USP),,"Rua  da Reitoria, 109, Bl. L, Sala 104",3091-3252,Cidade Universitária,,5,2,2001/05/04,
373,-46728343,-23561032,355030812000038,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Museu de Geociências da USP,,"Rua do Lago, 562",3091-3952,Cidade Universitária,,5,2,1934,
374,-46715752,-23568056,355030812000025,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Museu de Microbiologia do Instituto Butantan,,"Av. Dr. Vital Brasil, 1.500",3726-7222,Butantã,,5,2,2002,
375,-46610128,-23587837,355030834000009,3550308005019,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,Museu de Zoologia da USP,,"Avenida Nazaré, 481",6165-8100,Ipiranga,,5,2,1940,
376,-46654035,-23585381,355030832000011,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,Museu do Crime - Academia de Polícia Dr. Coriolano Nogueira Cobra,,"Pça. Reynaldo Porchat, 219 Portão 1 - 2º andar, ala 4 USP",3039-3460,Cidade Universitária,,5,2,1930,
377,-46547770,-23586128,355030872000035,3550308005081,74,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,Museu do Instituto Biológico ,,"Rua Dr. Amâncio de Carvalho, 546",,Vila Mariana,,5,2,2004/01/08,
378,-46633000,-23550685,355030878000004,3550308005001,80,SE,9,SE,Centro,Centro,Museu do Óculos Gioconda Giannini,,"Pça. da Sé, s/n - 2º  Palácio da Justiça",3105-7533,Centro,,5,2,1997,
379,-46633779,-23459002,355030851000119,3550308005130,51,MANDAQUI,5,SANTANA-TUCURUVI,Norte,Norte 2,Museu Florestal Octávio Veccchi,,"Rua do Horto, 931",6231-8555,Tremembé,,5,2,1931,
380,-46667693,-23529396,355030806000015,3550308005029,06,BARRA FUNDA,8,LAPA,Oeste,Oeste,Museu Geológico do Estado Waldemar Levrève,,"Av. Francisco Matarazzo, 455 Parque da Água Branca",3673-6797,Barra Funda,,5,2,1967,
381,-46669921,-23554270,355030845000171,3550308005025,44,JARDIM PAULISTA,11,PINHEIROS,Oeste,Oeste,Museu Histórico de Faculdade de Medicina da USP (Prof. Carlos da Silva Lacaz),,"Av.Dr. Arnaldo, 455 - 4º  Prédio Principal",3066-7249,Jardim Paulista,,5,2,1977,
382,-46719863,-23565731,355030812000025,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Museu Histórico de Instituto Butantã,,"Av. Dr. Vital Brasil, 1.500",3726-7222,Butantã,,5,2,1981,
383,-46731436,-23560223,355030812000038,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Museu Oceanográfico do Instituto Oceanográfico da Universidade de São Paulo,,"Praça Oceanográfico, 191 - USP",3091-6501,Cidade Universitária,,5,2,1988,
384,-46609686,-23585771,355030834000009,3550308005019,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,Museu Paulista da Universidade de São Paulo (Museu do Ipiranga),,"Parque da Independência, s/n",6165-8000,Ipiranga,,5,2,1893,
385,-46672150,-23554191,355030845000171,3550308005025,44,JARDIM PAULISTA,11,PINHEIROS,Oeste,Oeste,Museu Técnico Científico Oscar Freire,,"Rua Teodoro Sampaio, 115",3085-9677,Cerqueira César,,5,2,,
386,-46715444,-23563749,355030812000025,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Paço das Artes,,"Av. da Universidade, 1 - USP",3814-4832,Cidade Universitária,,5,2,1970,
387,-46633394,-23534026,355030809000012,3550308005004,09,BOM RETIRO,9,SE,Centro,Centro,Pinacoteca do Estado,,"Jardim da Luz,  2 - Estação Tiradentes",3229-9844,Bom Retiro,,5,2,1905,
388,-46630895,-23522635,355030809000018,3550308005004,09,BOM RETIRO,9,SE,Centro,Centro,Acervo Esportivo Cultural e Histórico do Clube Regatas Tietê,,"Av. Santos Dumont, 343",3228-5244,Santana,,5,4,1991,
389,-46636911,-23513736,355030870000060,3550308005064,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,Centro Histórico de Aeroclube de São Paulo,,"Av. Olavo Fontoura, 650 - Campo de Marte",6221-9477,Santana,,5,4,1990,
390,-46689672,-23578935,355030862000118,3550308005053,63,PINHEIROS,11,PINHEIROS,Oeste,Oeste,Centro Pró-Memória Hans Nobiling,,"Rua Angelina Maffei Vita, 493",3817-9715,Jardim Paulistano,,5,4,1991,
391,-46710940,-23601617,355030854000098,3550308005104,55,MORUMBI,10,BUTANTA,Oeste,Oeste,Fundação Maria Luísa e Oscar Americano,,"Av. Morumbi, 4.077",3742-0077,Morumbi,,5,4,1974,
392,-46710970,-23612699,355030854000062,3550308005104,55,MORUMBI,10,BUTANTA,Oeste,Oeste,Instituto Lina Bo e P.M. Bardi,,"Rua Bandeirante Sampaio Soares, 420",3744-9902/9830,Vila Morumbi,,5,4,1990,
393,-46626565,-23515181,355030870000058,3550308005064,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,Instituto Museu e Biblioteca de Odontologia de São Paulo,,"Rua Voluntários da Pátria , 547 - 1º",3064-0106,Santana,,5,4,1986,
394,-46645510,-23569907,355030890000197,3550308005022,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,Itaú Numismática - Instituto Cultural Itaú,,"Av. Paulista ,149 - 9 andar",2168-1876,Bela Vista,,5,4,2002,
395,-46719573,-23598111,355030854000042,3550308005104,55,MORUMBI,10,BUTANTA,Oeste,Oeste,Memorial do São Paulo Futebol Clube,,"Pça. Roberto Gomes Pedrosa, portão 17",3749-8072,Morumbi,,5,4,1994,
396,-46565866,-23527396,355030880000026,3550308005036,82,TATUAPE,25,MOOCA,Leste,Leste 1,Memorial do Sport Club Corinthians Paulista,,"Rua São Jorge, 777",6195-3000,Tatuapé,,5,4,2006/01/28,
397,-46675972,-23573037,355030862000110,3550308005053,63,PINHEIROS,11,PINHEIROS,Oeste,Oeste,Museu Brasileiro da Escultura - MuBE,,"Av. Europa, 218",3081-8611,Pinheiros,,5,4,1997,
398,-46673964,-23532835,355030860000071,3550308005026,61,PERDIZES,8,LAPA,Oeste,Oeste,Museu Contemporâneo das Invenções,,"Av. Dr. Homem de Mello, 1.109",3873-3211,Perdizes,,5,4,1996,
399,-46727835,-23603537,355030894000048,3550308005178,96,VILA SONIA,10,BUTANTA,Oeste,Oeste,Museu da Abadia de São Geraldo,,"Rua Santo Américo, 357",3742-1888,Morumbi,,5,4,1999/12,
400,-46662518,-23544314,355030826000007,3550308005013,26,CONSOLACAO,9,SE,Centro,Centro,Museu da Arte Brasileira - MAB,,"Rua Alagoas, 903 Pacaembu",3662-1662,Pacaembu,,5,4,1961,
401,-46636074,-23546952,355030878000006,3550308005001,80,SE,9,SE,Centro,Centro,Museu da Arte Brasileira - MAB-Centro,,"Pça. Patriarca, 78",3101-1776,Centro,,5,4,2004,
402,-46769349,-23745783,355030843000305,3550308005290,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,Museu da Associação dos Funcionários Públicos,,"Av. dos Funcionários Públicos, 2051",5517-0738,Guarapiranga,,5,4,,
403,-46633209,-23548693,355030878000004,3550308005001,80,SE,9,SE,Centro,Centro,Museu da Caixa Econômica Federal,,"Pça. da Sé, 111 - 6º andar",3107-0498,,,5,4,1984,
404,-46661082,-23602584,355030832000017,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,Museu da Cerveja,,"Pça. Nossa Senhora Aparecida, 76",5056-0207,Moema,,5,4,1986,
405,-46670294,-23537706,355030860000075,3550308005026,61,PERDIZES,8,LAPA,Oeste,Oeste,Museu da Cultura (PUC),,"R. Monte Alegre, 984",3670-8559,Perdizes,,5,4,1994,
406,-46643425,-23529354,355030869000098,3550308005014,70,SANTA CECILIA,9,SE,Centro,Centro,Museu da Energia,,"Alameda Cleveland, 601",3333-5600,Campos Elíseos,,5,4,1998,
407,-46663257,-23584119,355030832000011,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,Museu da Estrela - Casa dos Sonhos,,"Av. República do Líbano, 501",3817-5677,Indianópolis,,5,4,,
408,-46657317,-23548975,355030826000013,3550308005012,26,CONSOLACAO,9,SE,Centro,Centro,Museu da Farmácia,,"Rua Itacolomi, 601",3257-4746,Higienópolis,,5,4,1988,
409,-46675584,-23572658,355030862000110,3550308005053,63,PINHEIROS,11,PINHEIROS,Oeste,Oeste,Museu da Imagem e do Som - MIS,,"Avenida Europa, 158",3062-9197,Jardim Europa,,5,4,1970,
410,-46655460,-23561256,355030807000098,3550308005009,07,BELA VISTA,9,SE,Centro,Centro,Museu de Arte de São Paulo Assis Chateaubriand - MASP,,"Av. Paulista, 1.578",3251-5644,Jardim Paulista,,5,4,1947,
411,-46601690,-23582364,355030834000025,3550308005019,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,Museu de Arte Mágica e Iluminismo e Prestidigitação João Peixoto do Santos,,"Rua Silva Bueno, 519, conj. 42",6168-7000,Ipiranga,,5,4,1982,
412,-46656030,-23587686,355030832000011,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,Museu de Arte Moderna  MAM - Ibirapuera,,Marquise do Ibirapuera Parque do Ibirapuera,5549-9688,Ibirapuera,,5,4,1948,
413,-46597802,-23597945,355030834000080,3550308005084,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,Museu do Automóvel de São Paulo,,"Rua, 1822, 1.472",6168-8084,Ipiranga,,5,4,1999,
414,-46622592,-23572180,355030814000020,3550308005006,14,CAMBUCI,9,SE,Centro,Centro,Museu do Cinema Avtuzzo,,"Av. Lins Vasconcelos, 1.042 conj. 82",3208-9986,Cambuci,,5,4,2005,
415,-46668518,-23567921,355030845000025,3550308005024,44,JARDIM PAULISTA,11,PINHEIROS,Oeste,Oeste,Museu do Clube Atlético Paulistano,,"Rua Honduras, 1400",3065-2057,Jardim Paulista,,5,4,,
416,-46705807,-23679435,355030879000013,3550308005220,81,SOCORRO,19,CAPELA DO SOCORRO,Sul,Sul 2,Museu do Computador,,"Av. Rio Bonito, 1.201",5521-3655,Interlagos,,5,4,1998,
417,-46646913,-23558494,355030807000012,3550308005010,07,BELA VISTA,9,SE,Centro,Centro,Museu do Relógio Professor Dimas de Melo Pimenta,,"Rua dos Ingleses., 108",3289-5953,Bela Vista,,5,4,1950,
418,-46743350,-23529286,355030888000018,3550308005107,90,VILA LEOPOLDINA,8,LAPA,Oeste,Oeste,Museu do Sítio da Ressaca,,"Av. Mofarrej, 840",3646-4137,Vila Leopoldina,,5,4,1979,
419,-46635472,-23549205,355030878000005,3550308005001,80,SE,9,SE,Centro,Centro,Museu do Tietê,,"Rua Benjamin constant,174, 5º andar",3105-4481,Centro,,5,4,2000,
420,-46509103,-23492714,355030818000112,3550308005072,18,CANGAIBA,21,PENHA,Leste,Leste 1,Museu do Tribunal de Justiça do Estado de São Paulo,,"Rua Guirá Acangatara, 70 - Parque Ecológico",6958-1477,Cangaíba,,5,4,1995,
421,-46709778,-23522889,355030848000115,3550308005058,48,LAPA,8,LAPA,Oeste,Oeste,Museu Espírita,,"Rua Guaricanga, 357/359",3834-6225,Lapa,,5,4,1977,
422,-46645422,-23569481,355030807000055,3550308005010,07,BELA VISTA,9,SE,Centro,Centro,Museu Histórico Beata Heinrich,,"Av. Paulista, 200",3726-7222,Paraíso,,5,4,1993,
423,-46635521,-23561027,355030849000091,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,Museu Histórico da Imigração Japonesa,,"Rua São Joaquim, 381 - 7 e 9 andares",3209-5465,Liberdade,,5,4,1978,
424,-46618368,-23524936,355030856000008,3550308005015,57,PARI,25,MOOCA,Leste,Leste 1,Museu Histórico Dr. Eduardo de Campos Rosmaninho da Associação Portuguesa de Desportos,,Rua Comendador Nestor Pereira,3315-0400,Canindé,,5,4,1920,
425,-46635251,-23549265,355030878000005,3550308005001,80,SE,9,SE,Centro,Centro,Museu José Bonifácio,,"Rua Benjamin constant,158 - 7º andar",3242-8064,Centro,,5,4,1963,
426,-46634510,-23594528,355030890000056,3550308005046,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,Museu Lasar Segall,,"Rua Berta, 111",5574-7322,Vila Mariana,,5,4,1967,
427,-46584516,-23465454,355030839000017,3550308005070,38,JACANA,6,JACANA-TREMEMBE,Norte,Norte 2,Museu Memória do Jaçanã,,"Rua São Luís Gonzaga, 30",6241-4286,Jaçanã,,5,4,1983,
428,-46646889,-23558647,355030807000012,3550308005010,07,BELA VISTA,9,SE,Centro,Centro,Museu Memórias do Bixiga e Museu Adoniran Barbosa,,"Rua dos Ingleses, 118",3285-5009,Bela Vista,,5,4,1980,
429,-46640567,-23557552,355030807000070,3550308005010,07,BELA VISTA,9,SE,Centro,Centro,Museu Paulo Machado de Carvalho (Museu do Futebol),,"Av. Brig. Luiz Antônio, 917, 9 andar",3107-7551,Bela Vista,,5,4,,
430,-46633597,-23545205,355030878000007,3550308005001,80,SE,9,SE,Centro,Centro,Museu Santander Banespa,,"Rua João Brícola,  24 - 2º andar",3249-7466/7180,Centro,,5,4,1965,
431,-46655157,-23586442,355030832000011,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,OCA - Pavilhão Lucas Nogueira Garcez,Pavilhão da Oca,"Av. Pedro Álvares Cabral, s/n",3032-7576,Parque Ibirapuera,,5,4,1992,
432,-46639659,-23569642,355030849000103,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,Centro Cultural São Paulo,Sala Lima Barreto,"Rua Vergueiro, 1.000",3277-3611,Liberdade,,7,1,,110
433,-46638680,-23542815,355030866000002,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,Galeria Olido,Cine Olido,"Av. São João, 473 - Primeiro Piso",3334-0001,Centro,,7,1,,240
434,-46721314,-23557991,355030812000038,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Cineusp,,"Rua do Anfiteatro, 181 favo, 4 Colméia",3091-3540,Cidade Universitária,,7,2,,100
435,-46646138,-23591220,355030890000125,3550308005021,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,Cinemateca,,"Lgo. Senador Raul Cardoso, 207",5084-2318,Vila Mariana,,7,3,,104
436,-46650872,-23545893,355030826000081,3550308005012,26,CONSOLACAO,9,SE,Centro,Centro,Sala Maria Antônia,,"Rua Maria Antônia, 283",3211-0069,Vila Buarque,,7,4,,
437,-46700729,-23655017,355030871000028,3550308005173,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,Boavista Shopping,Sala 5,"Rua Borba Gato, 59",5547-6060,Santo Amaro,,7,4,,95
438,-46700729,-23655017,355030871000028,3550308005173,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,Boavista Shopping,Sala 4,"Rua Borba Gato, 59",5547-6060,Santo Amaro,,7,4,,95
439,-46700729,-23655017,355030871000028,3550308005173,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,Boavista Shopping,Sala 3,"Rua Borba Gato, 59",5547-6060,Santo Amaro,,7,4,,118
440,-46700729,-23655017,355030871000028,3550308005173,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,Boavista Shopping,Sala 2,"Rua Borba Gato, 59",5547-6060,Santo Amaro,,7,4,,330
441,-46700729,-23655017,355030871000028,3550308005173,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,Boavista Shopping,Sala 1,"Rua Borba Gato, 59",5547-6060,Santo Amaro,,7,4,,183
442,-46659310,-23557860,355030826000108,3550308005013,26,CONSOLACAO,9,SE,Centro,Centro,Bristol -  Playarte,Sala 7,"Av. Paulista, 2.064",3289-0509,Bela Vista,,7,4,,115
443,-46659310,-23557860,355030826000108,3550308005013,26,CONSOLACAO,9,SE,Centro,Centro,Bristol -  Playarte,Sala 6,"Av. Paulista, 2.064",3289-0509,Bela Vista,,7,4,,242
